VisitorID,Visits,PageViews,Hits,TotalHits,HitNumber,a_diffdays_latest,a_diffdays_oldest,Device,Sistema,Morning Visits,DaytimeVisits,Evening Visits,Midnight Visits,Goal1,Goal2,Goal3,Conversion
1,4,5,10,34,4,24,27,DESKTOP,WINDOWS,0,1,0,3,0,0,0,FALSE
2,1,1,2,1,1,24,24,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
3,1,1,2,1,1,24,24,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
4,3,4,8,97,5,11,42,DESKTOP,WINDOWS,0,0,0,3,0,0,0,FALSE
5,1,1,2,2,1,24,24,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
6,1,1,1,1,1,24,24,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
7,1,1,2,2,1,24,24,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
8,1,1,2,3,1,24,24,DESKTOP,MAC-OS,0,0,1,0,1,0,0,FALSE
9,1,1,2,2,1,24,24,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
10,1,1,2,1,1,24,24,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
11,1,1,2,1,1,4,4,MOBILE,IOS,1,0,0,0,0,0,0,FALSE
12,1,1,2,1,1,4,4,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
13,1,1,2,2,1,4,4,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
14,1,1,2,1,1,4,4,DESKTOP,WINDOWS,0,0,0,1,0,0,0,TRUE
15,1,1,2,1,1,4,4,DESKTOP,WINDOWS,0,1,0,0,0,0,0,TRUE
16,1,1,2,4,1,4,4,DESKTOP,WINDOWS,0,0,1,0,0,0,0,TRUE
17,1,1,2,10,1,4,4,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
18,1,4,5,62,1,4,4,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
19,1,1,2,1,1,4,4,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
20,1,1,1,1,1,4,4,DESKTOP,Linux,0,0,0,1,0,0,0,FALSE
21,1,1,1,1,1,4,4,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
22,1,2,3,17,1,4,4,MOBILE,IOS,0,1,0,0,0,0,0,FALSE
23,4,3,7,4,4,4,5,DESKTOP,WINDOWS,0,4,0,0,0,0,0,TRUE
24,1,1,2,1,1,4,4,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
25,1,1,2,1,1,4,4,DESKTOP,WINDOWS,0,0,0,1,0,0,0,TRUE
26,1,1,2,1,1,4,4,DESKTOP,WINDOWS,0,0,1,0,0,0,0,TRUE
27,1,1,2,1,1,11,11,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
28,1,1,2,1,1,11,11,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
29,1,1,2,3,1,11,11,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
30,1,1,2,9,1,11,11,DESKTOP,WINDOWS,0,0,0,1,0,0,0,TRUE
31,1,1,1,1,1,11,11,DESKTOP,WINDOWS,0,0,1,0,0,0,0,TRUE
